asin,brand,title,,,rating,review,totalReviews,prices
B004UVR9A4,Samsung,Samsung Factor Prepaid Phone (Boost Mobile),,,3.4,"pros-beautiful screen,capable of running chrome,take good pictures,the keyboard is comfy,fits in my pocket and fit my hands,plays really good videos and gamescons-no Bluetooth,came late,run down fast really quick,doesnt play 1080p videos.but I would still recommend it to those who like to talk and text a lot like me and watch a lot of movies",56,
B004Y0TNRS,Motorola,Motorola VU204 No Contract Camera Bluetooth Cell Phone Verizon Wireless,,,2.7,I purchased this phone in December as a christmas present to my son. I called sprint to activate the phone only to find out the ESN wasn't clear. I was told to come into the store and upon research the phone wasn't clear. I reached out to this company to inform them that this ESN wasn't clean. I was told to send the phone back and they would send out another phone. I asked the representative to provide me with the ESN # so that I could call and make sure it was clear. I was told that they didn't have to phone available and was guaranteed it would be clear. I should've known something was wrong then. I received a second phone that turned out not have a clear ESN. The representative at Sprint informed me that the seller of these phones are aware the the ESN isn't clear. So once again I had to send another phone back. I asked for a refund for the phone and shipping since the sent me two phones that didn't have a clear ESN. I received my refund for the phone but have yet to see a refund for the shipping. I wouldn't suggest you buy anything from them.,73,
B004YBP8EY,Samsung,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,,,3.1,Phone good just a little slow phone old but it's a great phone temporary right now. thank you for the great deal,23,
B0052OL576,Motorola,Motorola Clutch i475 Prepaid Phone (Boost Mobile),,,3.2,Phone's speaker little low. Overall very happy with the phone. I would purchase another cell phone from Chubbietech. I am satisfied.,8,$59.95 
B005JGSVCE,Samsung,Verizon or PagePlus amsung Haven U320 CDMA Cell Phone Dark Grey New No Contract,,,3.5,the phone was great and in good condition. My Daughter is so happy the be a andriod user now !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,199,
B005WJJKE6,HUAWEI,Huawei Pinnacle Prepaid Phone (MetroPCS),,,3,"the reasons for the 3 star rating was it was in my opinion better than my iphone 4s but it tends to randomly crash, and randomly power off but it is good for storage space, battery usage, and camera",28,$59.99 
B006OU39QW,Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,,,4,Phone works great. No problems at all,248,$109.99 
B006VH79R8,Samsung,Samsung Replenish Prepaid Android Phone (Boost Mobile),,,3.5,was not in good condition but does work good,83,$99.99 
B00727AODC,Samsung,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",,,3.1,"Just... not good. The phone has great screen resolution, storage is low, you need an SD card to do anything. May have a clear ESN but don't expect to use it with things like Freedompop.",123,
B007LU0HU0,Samsung,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,,,2.5,"as described, fast ship!",10,
B007P736SE,Samsung,Samsung Focus i917 GSM 3G Windows Phone 7 Smartphone AT&T New,,,2.8,Perfect in every way.,20,$118.80 
B007X6FFLS,Samsung,Samsung a157 GoPhone (AT&T),,,3.5,One of the phones have a bad charger port. I want to send it back,305,
B008FRL6VC,Samsung,Samsung Convoy 2 U660 Verizon CDMA Flip Cell Phone - Black,,,3.6,Just got this phone and it is a great phone. It's easy to use.,18,
B008LXDCMQ,Samsung,New Sprint Samsung Replenish M580 No Contract CDMA QWERTY Android Smartphone,,,3.5,The phone was great but it had gotten old so it was time for a replacement.it was great while it lasted.,23,
B008P2SUEI,Samsung,Samsung Entro Mobile Phone Black | Virgin Mobile,,,3.6,This phone came in great condition! Great price and it brings back great memories of owning this phone!,164,$189.95 
B008PAW5EQ,Samsung,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",,,3.5,Met all of my expectations. I can't complain at all. Great price!,73,
B0096DERAG,Motorola,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,,,1,"Phone is working on, I was planning to use it for whatsapp anyway. The oh problem, I can't change the idiom",1,
B0096QYH80,Motorola,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",,,3,excellent product in perfect condition,485,
B009ZC91AY,Nokia,Nokia Lumia 920 32GB Unlocked 4G LTE Windows Smartphone w/ PureView Technology 8MP Camera - Black,,,3.3,excellent,147,$89.00 
B00A408AF8,Samsung,"Samsung Galaxy Express, Gray 8GB (AT&T)",,,2.9,excelente,8,$389.28 
B00A7F57EM,Nokia,Nokia Lumia 822 16GB Windows Phone Black - Verizon,,,3.4,excelente,62,
B00A7F5M9W,Nokia,"Nokia Lumia 822, White 16GB (Verizon Wireless)",,,3.4,I like these phone I bought it for my mom and she loves it,22,
B00ACZ0DUA,Nokia,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,,,3,It came with arabian keyboard :(,74,$181.49 
B00B2BYU1Q,Nokia,Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red,,,3.4,"I love the phone, but one problem and one problem only............once the mic goes that's it. No more mic. But it can take a beating.",575,
B00B5081MI,Samsung,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",,,2.6,I love it!,48,$149.95 
B00B593XAY,Motorola,"Motorola DROID RAZR M, Pink 8GB (Verizon Wireless)",,,3.2,Very practical and user-friendly phone. I am very satisfied with it.,4,
B00B6SFDHK,Motorola,Motorola Droid RAZR HD 16GB XT926 Black - Verizon,,,3.5,Sharp and classy phone,262,
B00BIR1LKM,Nokia,Nokia Lumia 620 Magenta (Factory Unlocked),,,3,very good,2,$99.99 
B00BV1MVJ0,Samsung,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",,,3.7,100% gooddd!,1,$168.96 
B00CIF9MJK,Samsung,"Samsung Galaxy S4 i9500 Factory Unlocked Cellphone, International Version, 16GB, Black",,,3.8,Shipped quickly and was exactly what I expected!,1,$164.92 
B00CKUH92A,Nokia,Nokia Lumia 520 Unlocked GSM Windows 8 Touchscreen Smartphone - Yellow,,,3.1,Works wonderful for the price!,52,
B00CQAOIIC,Nokia,"Nokia Lumia 928, Black 32GB (Verizon Wireless)",,,3.4,"Bought this as an alternative to a smart phone and data plan. I use it with Go-Phone on a pay-as-you-go plan. The phone functions are great. The radio and music players are very good sound quality. The smart phone type features are easier and faster to use than any smart phone I have used. There are some software glitches that are documented on the Nokia support site which proved easily fixed. Even though many of the Nokia based features are no longer supported by Microsoft, you can still use the features needed by accessing the web directly via WIFI connection - or data if you want to pay for the privilege - and launching the site/application from there. Although the new Nokia browser is pretty Spartan in appearance, it is fast and runs with good stability. I am a very big guy with lands large even for my size and I find the full qwerty keyboard to be pretty easy to use. I like the programmable hot keys and on-screen shortcuts. Keeps you from launching items that require data connections by accident. The back lighting is thorough and even and the raised buttons are tactile with a positive click response. The phone does have a few quirks. There is no airplane mode as far as I can tell. The flight profile doesn't seem to be able to be set with the broadcasting and receiving functions turned off. The main navigation button/mouse is a little small and doesn't always respond as expected - that might be me though. All in all I would recommend this phone and vendor highly if you want the features of a smart phone but you don't need GPS or a big data bill every month for a bunch of things you don't need or want to keep you life running smoothly.",348,
B00CS2ZWKQ,Nokia,Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked,,,3.2,muy buen producto,91,
B00D7OOAHA,Nokia,Nokia Lumia 520 Unlocked GSM Dual-Core Windows 8 Smartphone 8GB - Red,,,3.7,"This phone is trapped in 2001, if you want a simple phone get an old school flip phone. If you want something also for work get a blackberry or somthing new. This isn't even in the middle of those two, it's in another dimension. Nothing but frustration with this phone.",71,
B00D99ZBR6,Samsung,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),,,3.4,Excellent,311,$99.00 
B00DUJ6TYY,Samsung,"Samsung Galaxy Mega I9152 5.8"" Android Smart Phone (Unlocked) - White, Dual-core 1.4 GHz, Dual Camera with Flash (8MP/1.9 MP), Dual SIMs",,,3.5,A friend mentioned this phone to me and it worth what he said. Thanks a lot my friend.,198,
B00E45043A,Nokia,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),,,3.8,"Used this unlocked GSM Nokia Asha 302 in the Philippines just recently (Jan-Feb 2015). Excellent, no problem with functionality. Bought a P40 SIM card at the airport & presto! It worked. I passed it on to my brother the instant I came back to the US. He will be visiting the Philippines soon. It was very easy to use. Having been used to smart phones w/ touch screen, I surprised myself when I worked w/ it easily not having read the instructions to operate it. I'll buy another one like this & definitely an upgraded version of this Nokia unlocked GSM phone.",4,$84.94 
B00E6FGSHY,Samsung,"Samsung Galaxy S4, White Frost 16GB (AT&T)",,,3.7,Excelente,638,
B00E8TGT1S,Nokia,Nokia Lumia 520 Quad-Band GSM Unlocked Smartphone - Blue,,,3,"Excellent phone for my youngest son, with walk in reasonable options, and quality first",4,
B00E92B88I,Motorola,Motorola Moto X (XT1058) 16GB Unlocked GSM 4G LTE Android Phone w/ 10MP Camera - White,,,3.9,Excelente,699,
B00ECAABBC,Nokia,"Nokia Lumia 1020 RM-877 GSM Unlocked 32GB Windows 8.1 4G LTE Smartphone - Black (International version, No Warranty)",,,3.7,solid phone,235,$230.59 
B00ECBREK2,Motorola,Motorola Moto G (1st Gen) XT1032 8GB Factory Unlocked Global GSM Quad-Core Smartphone - Black,,,3.6,Good choice,17,
B00EKXDL0E,Samsung,"Samsung Galaxy Mega, Black 16GB (AT&T) (Discontinued by Manufacturer)",,,3.8,"perfect, practical, easy to handle, good resolution, well packed",231,
B00EP2BN00,Samsung,"Samsung Convoy 3, Gray (Verizon Wireless)",,,3.5,excellent product !!....all right....i recommend....,333,
B00F2SDM00,Samsung,"Samsung Galaxy Note 3, Black 32GB (AT&T)",,,3.8,excelente,342,
B00F2SKPIM,Samsung,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",,,3.9,Excelente,980,
B00F9RRVUG,Samsung,Samsung a157V (AT&T Go Phone) No Annual Contract,,,3.6,"Nokia is the brand that can be used in telephone, good price, excellent team, was a gift to my daughter and she liked it, easy to use and very affordable price, I recommend it.",294,
B00FJ8YCZM,Samsung,"Samsung Galaxy Note 3, White 32GB (Sprint)",,,3.8,"First off, let me say I've been a Nokia user since I had my first cell phone at age 16, ten years ago. Of course there was that one year where I ventured off into Samsung land but that phone died and back to Nokia I went. But I've always enjoyed Nokia phones.Second, I've been looking for a QWERTY phone with internet/video/mp3 playing capabilities and the Asha 302 fits it. It is a strong build, as I have dropped it numerous times and the phone is still intact. I like the keyboard as I am not a fan of touchscreens at all (which is why I didn't get the Asha 303). As far as sound I think it depends on your headphones. I had earbuds that produced a loudness of 93 decibels which made the listening experience mediocre but then I bought buds with a 110 db loudness and the sound is much better. Nokia Xpress is a bit sucky but I downloaded an Opera browser for the phone and it works slightly better so internet experience is pretty easy. I won't get into video games and SNS because I don't even do that on my PC so I don't have a reason to use it on my phone.My only wish is that the 302 had a built in antenna so I could listen to re radio without RDS earbuds. Other than that, it's a really great phone and for those who want to move up into Blackberrys but don't want to pay so much the Nokia Asha 302 is a great phone to start with.EDIT (October 3, 2013): I found a Gino 25cm 4 Section Telescoping Stainless Steel AM FM Radio Antenna 3.5mm Plug to use for playing the radio through the speaker. So now I'm really enjoying the phone for when I'm sitting outside with friends or at my desk.",178,
B00G9FVHMK,Samsung,"Samsung Galaxy Mega, Black 16GB (Sprint)",,,3.4,"Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTYDependableTraditional Nokia Menu'sNot Complicated like 'Smart Phones'DurableEasy to use on Straighttalk, Internet, WiFi, Bluetooth.",85,
B00HWEJJSQ,Samsung,"Samsung Galaxy S4, White 16GB (Verizon Wireless)",,,3.7,"This is a solidly-built unlocked phone that is an update to the popular Nokia C3. It runs the S40 software which has its goods and bads. It has good reception and nice audio. The 3g supports 850 and 1900 bands (AT&T and T-mobile when it's hspa is refarmed from 1700/2100 to the 1900 pcs band.) + the 2100 band.The keyboard is pretty good, not as firm as other Nokia qwerty phones (e.g. E5), but comparable to the C3 keyboard. The one that I have is obviously for the world market, since it has some added European chars and symbols on the keypad. Wi-fi works fine, and Opera Mini installed and runs without problems - good way to go for a bit of web-surfing. I did not tried any of the e-mail or social clients. Text messaging can be set to 'normal' in-box or conversation modes. OVI store app does not seem to work that well. There are a couple of features that I found appealing: ability to backup the phone memory to the sd card; ability to lock the keypad with a passcode either manually or automatically after a set time. The battery is fairly good sized (BL-5J). The 'function' keys and the d-pad keys can all be re-assigned to user defined short-cuts. My opinion: it is a worthy update (3g) to the C3, not quite in the same league as the more expensive E5 which has the multi-tasking S60 software. For the price of around $110, it is an unlocked feature (gsm/3g) phone well worth considering, as long as one knows that one is getting a non-smart phone and that apps for S40 is very limited.",975,
B00HWENIUG,Nokia,"Nokia Lumia Icon, White 32GB (Verizon Wireless)",,,3.7,"Hola, compramos dos teléfonos y vienieron totalente diferentes, uno vino con la batería dañada, se descarga de inmediato. El otro teléfono vino sin la tarjeta de memoria y los teclados y cargadores son muy distintos.Mi Tía y yo nos sentimos engañadas y defraudadas :(",71,$183.44 
B00I2KY5TM,Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,,,3.5,"THIS CELLPHONE IS VERY EASY FOR USING, IT HAS COMPLETE APPS FOR THE MOST IMPORTANT CONTACT WITH OTHER PEOPLE, MOST OF THEM ARE INCORPORATED AND I JUST HAD TO USE IT WITH WI FI CONNECTION, I AM SATISFIED WITH THIS PURCHASED IT IS A SIMPLE PHONE BUT COMPLETE AND IT IS THE MOST IMPORTANT...",13,
B00I2KY6LE,Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows Smartphone - Black,,,3.6,GRACIAS ME LLEGO EL PROCTO QUE COMPRE Y LLEVO EN EL MOMENTO INDICADO Y EN UN BUEN ENVALAJE LO RECOMIENDO SASTIFACTORIAMENTE..,29,
B00I3OIXJU,Nokia,"Nokia Lumia 521 Pre-paid Phone (T-mobile, Brightspot)",,,2.8,Freezes alot. But i bought primarily for playing back my music instead of my BB. Its a great phone for SMS and rings really loud. The body is strong and neat,57,$165.59 
B00IDTU8PC,Samsung,Samsung Galaxy S4 M919 16GB Unlocked GSM Cell Phone - White Frost,,,3,"The keys are a little hard to hit, and I didn't expect a Spanish keyboard. But overall, a very good phone.",18,
B00IEMJYL2,Samsung,Samsung Galaxy S4 L720 16GB Sprint CDMA Smartphone - White Frost,,,3.4,"Preface: This is not what would be considered a smartphone in the United States (Nothing on the par of Android, iPhone, or Windows Phone), it is basically a feature phone. Also, although it says here that it has a US warranty all of the warranty material it came with referenced Latin American countries so I am not sure if it is really covered under a US Warranty. I returned it during Amazon's return window so it wasn't an issue. Now for the phone review.Pros: The phone has a great keyboard. If you are familiar with the E-series phones its that type of keyboard. The interface is some sort of modified Symbian and I liked it in a lot of ways. The style of the hardware is attractive and the Gray is a nice color. The camera was pretty decent considering it is only 2 megapixels. For e-mail it's adequate.Cons: I'll start with the small issues and work up to the big problem that ultimately made me decide to return the phone. The onboard social network apps are not fully functional. You can update your Facebook or Twitter status but the rest of it is so-so. The Ovi store in general is a poor app store, but this phone isn't able to use many of them. Even the old Facebook app that I used on my old E71 (It used to be called Snaptu but Facebook has since renamed it to Facebook for Everyone) is incompatible with this phone as are most of the better apps in the Ovi store. The browser was mediocre, barely passable. Also, NO GPS for this phone. Nokia/Ovi Maps is incompatible which is too bad because that has always been a Nokia strength. That immediately eliminates this phone as a smart phone. With all of that said, I bought this phone for my wife and she really only needed a phone for texts and calls so we could have overlooked these things. The problem we could not overlook was the very shabby, flimsy piece of metal that was supposed to hold in place the standard sim card. This little piece of metal was barely attached to the phone and would not lock into place to hold down the sim card. Because the sim card would intermittently get lose inside the phone and constantly lose the signal. So we would have to take the battery out and re-adjust the sim card. Then it would work for a little while only to ultimately have to repeat the process. It was WAY more frustration than it was worth. It's too bad because as a basic phone for calls, texts, e-mail, and occasionally updating your Facebook/Twitter status; this phone has a lot of potential. Becuase of the problem with the sim card holder, however, it was essentially unusable. I have used Nokia phones for years (I use a Lumia 710 personally) and I am really surprised Nokia would do such a sloppy job on something as important as the part that holds the sim card in place. What a waste.",130,
B00IZ1XA94,Samsung,"Samsung Galaxy S5, Black 16GB (AT&T)",,,3.7,"We just received the phone a few days ago. Put in the Consumer Cellular SIM card, and it is ready to go. The phone seems very nice even though we have not come close to discovering all of the things it will do. It has a large number of ring tones built in.",4,"$142.99,$239.00"
B00JEHJMG8,Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),,,3.4,"I bought this phone as a Christmas present for myself because I wanted something a bit more advanced than the Nokia C2 I purchased from Amazon in 2012, but didn't want to go all the way with a smartphone. In other words, a good feature phone with smartphone features without the touch screen. Red, however, is my favorite color, but I went for the white one because my C2 is silver and I couldn't find a silver Asha 302 on Amazon. I've had it for a week and it works great. Best is the Wi-Fi feature, which gives you access to the Web without purchasing a data plan (which I may have to do if I want to access personal email or go on Facebook). It has the great calendar, alarm clock, text messaging, camera, missed/received call and other features of the C2, which makes it a keeper. And it's a little bigger, with a wider screen, but not so big it can't fit into my pocket or purse. I can use the same Nokia charger I had for the C2. Now all I have to do is await the arrival of my purple phone skin, then I'll be all right. I've had Nokia phones since 1999 and they've never let me down - just get better!",130,
B00JH2WPO6,Samsung,"Samsung ATIV SE, Silver 16GB (Verizon Wireless)",,,3.5,"The Phone is pretty good. I am using it with a LycaMobile plan. Only thing that is awkward is that the bottom row of letters is off compared to other phones and devices. Before this I had been using a blackberry. When trying to type on the nokia I am always mistyping Ms, Ns and espectially the shift key (which you need to hit to insert any punctuation)",21,
B00JS73V2U,Motorola,"Motorola DROID MAXX, Black 16GB (Verizon Wireless)",,,4,loved everything about it. also it looks like any other touch phone but is not. which makes it stylish yet classic.,257,
B00JYR6GGM,Samsung,"Samsung Gusto 3, Royal Navy Blue (Verizon Wireless Prepaid) - Discontinued by Manufacturer",,,3.3,THIS IS A SOLUTION IF YOU WANT YOU ARE LOOKING FOR ECONOMIC AND NOT VERY SOPHISTICATED. YOUR PRICE IS A GOOD CHOICE FOR THE PRODUCT THAT RECEIVE.rECOMMEND IT,257,
B00K0NS0P4,Motorola,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",,,4,This phone in an excellent phone at a great price. I was impressed with the features of this phone and would recommend this to anyone.,1,$209.65 
B00K15Q2B0,Samsung,Samsung Galaxy S5 G900A 16 GB 4G LTE (Shimmery White) GSM Unlocked,,,3.2,"Have problems setting correct time on Nokia Asha 302. Customer support on Nokia.com does not accept inquiry about Asha 302 phones. Is this product obsolete, or is Nokia customer support poor? Booklet that came with phone is also poorly written.",1,$159.01 
B00KHY09BE,Samsung,"Samsung Galaxy S5 Active, Ruby Red 16GB (AT&T)",,,3.5,"This is a good phone although it seems to have a small screen. However, it's capable of performing all the basic functions such as calling, messaging, web browsing, social networking and it also has a wi-fi capability.",829,
B00KM10ITK,Nokia,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,,,3.5,"I've been a long time user of the iPhone. I finally got sick of it and sold it. I just wanted a simple phone. After going through about 3 of them, this fits the bill very well. The texting interface is very nice and intuitive. The battery life is stellar. It connects to the internet just fine. I can check my email in case of emergency, look up directions, etc. Basically everything I was able to do with my smartphone, without the bells and whistles. Having a physical keyboard is quite nice too. The OS seems very stable and snappy. You have things like calendar, todo, memos, etc.Backup is a snap. Just insert an SD card and go to Settings to back it up. No more iTunes! If you want to add music or podcasts, just plug it into the computer, copy paste to the SD card and you're done.I would buy this phone again definitely if I broke or lost it.",685,
B00L4DXRS4,Nokia,Nokia 220 RM-971 Unlocked GSM 850 / 1900 Cell Phone w/ 2MP Camera - Black,,,3.7,"This phone, like all of Nokia's feature phones, are great for their value and durability. The last phone I had before buying this one was a Nokia C-3, which was also a great phone. It lasted for years, and probably would have kept going if I hadn't accidentally jumped into a pool with it in my pocket :P This phone is basically an update of the C-3. It is sleek and small, has a full QWERTY keyboard, and has Wi-Fi internet browsing. This is the best phone you can get if you're looking for functionality, but don't want to throw hundreds of dollars at a smartphone with a data plan.And the buyer should be aware; this is NOT a smartphone. If you're looking for anything like a smartphone, you will be disappointed. If you're looking for a toy you can take out of your pocket every couple of minutes to tinker around with, you will be disappointed. Yes, it does have an internet browser which works well, but the screen is quite small so it's not good for recreational browsing. I just use it to look things up, it works fine for that. It also has some social network apps, but I don't use them. I don't know how well they work, but if that's a priority for you this phone probably isn't the best choice. Same goes for the camera; I don't use it, can't speak to its quality, but if a camera is important to you this isn't the best choice.The only other potential negative I can see in this phone is that the keys really are pretty small. I haven't had an issue with them personally, but if someone has big hands I see how this could be annoying.I bought this phone for the advantages to NOT owning a smartphone: longer battery life, higher durability, lower cost, but still good at accomplishing what it needs to. If you're looking for the same thing, Nokia is definitely the best way to go.",208,
B00LAEA8E8,Samsung,Samsung Galaxy S5 G900v 16GB Verizon Wireless CDMA Smartphone - Shimmery White,,,3.2,Love it.,610,$142.99 
B00LYRY2AM,Nokia,Genuine Nokia C5-03 Unlocked Touch screen Student mobile phone Support wifi Fashionable mobile phone (Blue),,,3.5,Sorry it took so long to Reply or Review this purchase as it over 18 months.This Phone was a Clone Phone from Hong Kong--The quality is Fair--ALL THE SYMBOLS DON'T MATCH--such as \ ? !--But the phone works I think amazon should Boycott this Seller.,119,$133.99 
B00MWI4KKE,Motorola,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",,,3.6,"Bought it as a gift for my Mum and she loves it. It is a strong durable phone, has good reception and it functions well.",422,$169.00 
B00N532C1E,Samsung,"Samsung Galaxy Alpha, Charcoal Black 32GB (AT&T)",,,3.1,"Incredible! This phone does not have Splaniish Language, I dont understand how can it be a international version, lost money!",113,$339.99 
B00N532DU4,Samsung,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",,,3,BAD,103,$494.99 
B00NACK1DG,Samsung,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - Black,,,3.2,good,253,
